language,url
One,https://aclanthology.org/2021.nlp4if-1.15
English,https://aclanthology.org/2021.nlp4if-1.16
English,https://aclanthology.org/2021.nlp4if-1.18
Bulgarian,https://aclanthology.org/2021.nlp4if-1.19
English,https://aclanthology.org/2021.nlp4if-1.19
Bulgarian,https://aclanthology.org/2021.nlp4if-1.20
English,https://aclanthology.org/2021.nlp4if-1.20
One,https://aclanthology.org/2021.naacl-tutorials.6
Czech,https://aclanthology.org/2021.naacl-srw.1
English,https://aclanthology.org/2021.naacl-srw.1
German,https://aclanthology.org/2021.naacl-srw.1
Icelandic,https://aclanthology.org/2021.naacl-srw.2
One,https://aclanthology.org/2021.naacl-srw.2
English,https://aclanthology.org/2021.naacl-srw.3
French,https://aclanthology.org/2021.naacl-srw.3
Russian,https://aclanthology.org/2021.naacl-srw.3
Spanish,https://aclanthology.org/2021.naacl-srw.3
English,https://aclanthology.org/2021.naacl-srw.6
English,https://aclanthology.org/2021.naacl-srw.7
German,https://aclanthology.org/2021.naacl-srw.7
One,https://aclanthology.org/2021.naacl-srw.8
One,https://aclanthology.org/2021.naacl-srw.9
Tamil,https://aclanthology.org/2021.naacl-srw.13
Bété,https://aclanthology.org/2021.naacl-srw.16
Bengali,https://aclanthology.org/2021.naacl-srw.19
One,https://aclanthology.org/2021.naacl-srw.19
One,https://aclanthology.org/2021.naacl-main.3
One,https://aclanthology.org/2021.naacl-main.5
Even,https://aclanthology.org/2021.naacl-main.7
One,https://aclanthology.org/2021.naacl-main.7
Dutch,https://aclanthology.org/2021.naacl-main.10
English,https://aclanthology.org/2021.naacl-main.10
German,https://aclanthology.org/2021.naacl-main.10
Russian,https://aclanthology.org/2021.naacl-main.10
One,https://aclanthology.org/2021.naacl-main.11
So,https://aclanthology.org/2021.naacl-main.11
One,https://aclanthology.org/2021.naacl-main.12
So,https://aclanthology.org/2021.naacl-main.13
Czech,https://aclanthology.org/2021.naacl-main.14
English,https://aclanthology.org/2021.naacl-main.14
Estonian,https://aclanthology.org/2021.naacl-main.14
One,https://aclanthology.org/2021.naacl-main.15
English,https://aclanthology.org/2021.naacl-main.17
Even,https://aclanthology.org/2021.naacl-main.17
English,https://aclanthology.org/2021.naacl-main.18
French,https://aclanthology.org/2021.naacl-main.18
German,https://aclanthology.org/2021.naacl-main.18
Turkish,https://aclanthology.org/2021.naacl-main.18
Vietnamese,https://aclanthology.org/2021.naacl-main.18
English,https://aclanthology.org/2021.naacl-main.20
Even,https://aclanthology.org/2021.naacl-main.22
One,https://aclanthology.org/2021.naacl-main.23
Even,https://aclanthology.org/2021.naacl-main.25
One,https://aclanthology.org/2021.naacl-main.25
One,https://aclanthology.org/2021.naacl-main.26
!Xóõ,https://aclanthology.org/2021.naacl-main.29
Even,https://aclanthology.org/2021.naacl-main.30
One,https://aclanthology.org/2021.naacl-main.30
Czech,https://aclanthology.org/2021.naacl-main.31
English,https://aclanthology.org/2021.naacl-main.31
Spanish,https://aclanthology.org/2021.naacl-main.31
One,https://aclanthology.org/2021.naacl-main.32
English,https://aclanthology.org/2021.naacl-main.33
One,https://aclanthology.org/2021.naacl-main.39
One,https://aclanthology.org/2021.naacl-main.42
English,https://aclanthology.org/2021.naacl-main.46
One,https://aclanthology.org/2021.naacl-main.46
English,https://aclanthology.org/2021.naacl-main.47
Even,https://aclanthology.org/2021.naacl-main.49
One,https://aclanthology.org/2021.naacl-main.52
English,https://aclanthology.org/2021.naacl-main.55
English,https://aclanthology.org/2021.naacl-main.57
English,https://aclanthology.org/2021.naacl-main.60
One,https://aclanthology.org/2021.naacl-main.61
English,https://aclanthology.org/2021.naacl-main.65
One,https://aclanthology.org/2021.naacl-main.70
Even,https://aclanthology.org/2021.naacl-main.72
So,https://aclanthology.org/2021.naacl-main.73
So,https://aclanthology.org/2021.naacl-main.74
Even,https://aclanthology.org/2021.naacl-main.75
One,https://aclanthology.org/2021.naacl-main.75
One,https://aclanthology.org/2021.naacl-main.76
Even,https://aclanthology.org/2021.naacl-main.77
One,https://aclanthology.org/2021.naacl-main.78
English,https://aclanthology.org/2021.naacl-main.82
Hindi,https://aclanthology.org/2021.naacl-main.82
One,https://aclanthology.org/2021.naacl-main.82
